phoneme,source
ɑːɹ,espeak-ng
ɪ̈,espeak-ng
oːɹ,espeak-ng
ɪɹ,espeak-ng
ɔːɹ,espeak-ng
ɛɹ,espeak-ng
ʊɹ,espeak-ng
uːɜ,espeak-ng
eːɜ,espeak-ng
aʰː,espeak-ng
əʰ,espeak-ng
